Date,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,india_vix_close,nifty_return_5d,nifty_return_20d,vix_level_label,market_regime
2024-11-11,24087.25,24336.80078125,24004.599609375,24141.30078125,273400,14.270000457763672,0.006082477407121312,-0.03926498055654226,LOW,BEAR
2024-11-12,24225.80078125,24242.0,23839.150390625,23883.44921875,255800,14.59000015258789,-0.01362274253642548,-0.046848545792959495,LOW,BEAR
2024-11-13,23822.44921875,23873.599609375,23509.599609375,23559.05078125,304600,15.4399995803833,-0.03777969618934007,-0.05655492328458933,MID,BEAR
2024-11-14,23542.150390625,23675.900390625,23484.150390625,23532.69921875,257700,14.779999732971191,-0.027548277180422076,-0.04917809238582016,LOW,BEAR
2024-11-18,23605.30078125,23606.80078125,23350.400390625,23453.80078125,263300,15.170000076293945,-0.02875570270104577,-0.0563389047654298,MID,BEAR
2024-11-19,23529.55078125,23780.650390625,23464.80078125,23518.5,297500,15.65999984741211,-0.025798145132830408,-0.050950104284207876,MID,BEAR
2024-11-21,23488.44921875,23507.30078125,23263.150390625,23349.900390625,420300,15.989999771118164,-0.02233968901385197,-0.04585627047382956,MID,BEAR
2024-11-22,23411.80078125,23956.099609375,23359.0,23907.25,367600,16.100000381469727,0.014779849238540699,-0.02161813754578379,MID,NEUTRAL
2024-11-25,24253.55078125,24351.55078125,24135.44921875,24221.900390625,687200,15.300000190734863,0.029286957924736123,-0.007274768935231712,MID,NEUTRAL
2024-11-26,24343.30078125,24343.30078125,24125.400390625,24194.5,230700,15.3100004196167,0.031581201940716896,0.0005665328817654469,MID,NEUTRAL
2024-11-27,24204.80078125,24354.55078125,24145.650390625,24274.900390625,295000,14.630000114440918,0.032161931697387125,-0.002639779900647121,LOW,NEUTRAL
2024-11-28,24274.150390625,24345.75,23873.349609375,23914.150390625,366700,15.210000038146973,0.024164985313022802,-0.02258971741659055,MID,NEUTRAL
2024-11-29,23927.150390625,24188.44921875,23927.150390625,24131.099609375,282100,14.430000305175781,0.009363252125401234,-0.008617201263147911,LOW,NEUTRAL
2024-12-02,24140.849609375,24301.69921875,24008.650390625,24276.05078125,220400,14.699999809265137,0.0022355962889666348,0.0029208903410185005,LOW,NEUTRAL
2024-12-03,24367.5,24481.349609375,24280.0,24457.150390625,339500,14.369999885559082,0.010855789151460016,0.006286972649169664,LOW,NEUTRAL
2024-12-04,24488.75,24573.19921875,24366.30078125,24467.44921875,348000,14.449999809265137,0.00793201310928393,0.019674629336950744,LOW,NEUTRAL
2024-12-05,24539.150390625,24857.75,24295.55078125,24708.400390625,361500,14.529999732971191,0.03321255353112473,0.020447423250876673,LOW,NEUTRAL
2024-12-06,24729.44921875,24751.05078125,24620.5,24677.80078125,226700,14.140000343322754,0.02265546041103761,0.007913314742361788,LOW,NEUTRAL
2024-12-09,24633.900390625,24705.0,24580.05078125,24619.0,248100,14.109999656677246,0.014127059703421097,0.017341391293525632,LOW,NEUTRAL
2024-12-10,24652.650390625,24677.80078125,24510.650390625,24610.05078125,261000,13.779999732971191,0.006251766382546764,0.019125714440080932,LOW,NEUTRAL
2024-12-11,24620.5,24691.75,24583.849609375,24641.80078125,187300,13.270000457763672,0.00712585774435337,0.020732105719370564,LOW,NEUTRAL
2024-12-12,24604.44921875,24675.25,24527.94921875,24548.69921875,266100,13.1899995803833,-0.006463436294953162,0.027854016976649243,LOW,NEUTRAL
2024-12-13,24498.349609375,24792.30078125,24180.80078125,24768.30078125,310100,13.050000190734863,0.003667263578396307,0.0513284686733817,LOW,BULL
2024-12-16,24753.400390625,24781.25,24601.75,24668.25,187600,14.020000457763672,0.00200048742840897,0.04825416628557577,LOW,BULL
2024-12-17,24584.80078125,24624.099609375,24303.44921875,24336.0,264900,14.489999771118164,-0.011135725955461862,0.037614339227067584,LOW,BULL
2024-12-18,24297.94921875,24394.44921875,24149.849609375,24198.849609375,235300,14.369999885559082,-0.017975600720384177,0.02892827388545194,LOW,NEUTRAL
2024-12-19,23877.150390625,24004.900390625,23870.30078125,23951.69921875,271100,14.510000228881836,-0.024319007483053046,0.02577307903063364,LOW,NEUTRAL
2024-12-20,23960.69921875,24065.80078125,23537.349609375,23587.5,442700,15.069999694824219,-0.047673871198458895,-0.013374603938135943,MID,NEUTRAL
2024-12-23,23738.19921875,23869.55078125,23647.19921875,23753.44921875,189800,13.520000457763672,-0.03708413775804931,-0.019339984242372377,LOW,NEUTRAL
2024-12-24,23769.099609375,23867.650390625,23685.150390625,23727.650390625,177700,13.180000305175781,-0.024997929379314554,-0.019295691556965422,LOW,NEUTRAL
2024-12-26,23775.80078125,23854.5,23653.599609375,23750.19921875,177700,14.039999961853027,-0.018540153679503235,-0.021614967041332922,LOW,NEUTRAL
2024-12-27,23801.400390625,23938.849609375,23800.599609375,23813.400390625,176800,13.239999771118164,-0.005774071679087278,-0.004212986802972329,LOW,NEUTRAL
2024-12-30,23796.900390625,23915.349609375,23599.30078125,23644.900390625,364900,13.970000267028809,0.0024335088765234936,-0.02014824134085913,LOW,NEUTRAL
2024-12-31,23560.599609375,23689.849609375,23460.44921875,23644.80078125,193600,14.449999809265137,-0.004574006768424899,-0.026002993884308268,LOW,NEUTRAL
2025-01-01,23637.650390625,23822.80078125,23562.80078125,23742.900390625,154900,,0.0006427100765959981,-0.02920413820057255,,NEUTRAL
2025-01-02,23783.0,24226.69921875,23751.55078125,24188.650390625,283200,13.739999771118164,0.01846094712034496,-0.011394683018749241,LOW,NEUTRAL
2025-01-03,24196.400390625,24196.44921875,23976.0,24004.75,312300,13.539999961853027,0.008035375302820391,-0.0284781847266804,LOW,NEUTRAL
2025-01-06,24045.80078125,24089.94921875,23551.900390625,23616.05078125,278100,15.649999618530273,-0.0012201197255387042,-0.04302449839074429,MID,BEAR
2025-01-07,23679.900390625,23795.19921875,23637.80078125,23707.900390625,262300,14.65999984741211,0.002668646268529251,-0.037007986082903455,LOW,BEAR
2025-01-08,23746.650390625,23751.849609375,23496.150390625,23688.94921875,266400,14.470000267028809,-0.0022723075524632153,-0.03742786110794105,LOW,BEAR
2025-01-09,23674.75,23689.5,23503.05078125,23526.5,269200,14.65999984741211,-0.027374424779054052,-0.04526052260347124,LOW,BEAR
2025-01-10,23551.900390625,23596.599609375,23344.349609375,23431.5,261000,14.920000076293945,-0.02388069028004869,-0.04550950780710594,LOW,BEAR
2025-01-13,23195.400390625,23340.94921875,23047.25,23085.94921875,316500,16.0,-0.022446664237395497,-0.06792357608050237,MID,BEAR
2025-01-14,23165.900390625,23264.94921875,23134.150390625,23176.05078125,311200,15.470000267028809,-0.02243343360702299,-0.0604906800745898,MID,BEAR
2025-01-15,23250.44921875,23293.650390625,23146.44921875,23213.19921875,228000,15.260000228881836,-0.020083204012419476,-0.046137441701594395,MID,BEAR
2025-01-16,23377.25,23391.650390625,23272.05078125,23311.80078125,299400,15.470000267028809,-0.009125846120332404,-0.0366566527931701,MID,BEAR
2025-01-17,23277.099609375,23292.099609375,23100.349609375,23203.19921875,272900,15.75,-0.009743327625205356,-0.03125039243203487,MID,BEAR
2025-01-20,23290.400390625,23391.099609375,23170.650390625,23344.75,301500,16.420000076293945,0.01121031579848597,-0.010291467938526755,MID,NEUTRAL
2025-01-21,23421.650390625,23426.30078125,22976.849609375,23024.650390625,312900,17.059999465942383,-0.006532622492676166,-0.030681810519952446,MID,BEAR
2025-01-22,23099.150390625,23169.55078125,22981.30078125,23155.349609375,276000,16.770000457763672,-0.002492099810536774,-0.024119572390366995,MID,NEUTRAL
2025-01-23,23128.30078125,23270.80078125,23090.650390625,23205.349609375,275600,16.700000762939453,-0.004566407068844702,-0.02294084375279093,MID,NEUTRAL
2025-01-24,23183.900390625,23347.30078125,23050.0,23092.19921875,264300,16.75,-0.004783823082047389,-0.03028551823950887,MID,BEAR
2025-01-27,22940.150390625,23007.44921875,22786.900390625,22829.150390625,257400,18.1299991607666,-0.022086319595412296,-0.034500039607840205,MID,BEAR
2025-01-28,22960.44921875,23137.94921875,22857.650390625,22957.25,361900,18.200000762939453,-0.0029273143991990214,-0.02907830721903215,MID,NEUTRAL
2025-01-29,23026.75,23183.349609375,22976.5,23163.099609375,226300,18.639999389648438,0.0003346958750674034,-0.02441996435612126,MID,NEUTRAL
